x,y,noisy_x,noisy_y,x_neuron,y_neuron,pattern_str,state_count,is_collision,pattern_idx
-52.30769230769231,64.61538461538461,-52.30769230769231,64.61538461538461,7,19,x7_y19,4,True,132
-52.30769230769231,70.76923076923077,-52.30769230769231,70.76923076923077,7,19,x7_y19,4,True,132
-58.46153846153846,76.92307692307693,-58.46153846153846,76.92307692307693,7,20,x7_y20,4,True,133
-58.46153846153846,83.0769230769231,-58.46153846153846,83.0769230769231,7,20,x7_y20,4,True,133
-52.30769230769231,76.92307692307693,-52.30769230769231,76.92307692307693,7,20,x7_y20,4,True,133
-52.30769230769231,83.0769230769231,-52.30769230769231,83.0769230769231,7,20,x7_y20,4,True,133
-58.46153846153846,89.23076923076925,-58.46153846153846,89.23076923076925,7,21,x7_y21,4,True,134
-58.46153846153846,95.38461538461539,-58.46153846153846,95.38461538461539,7,21,x7_y21,4,True,134
-52.30769230769231,89.23076923076925,-52.30769230769231,89.23076923076925,7,21,x7_y21,4,True,134
-52.30769230769231,95.38461538461539,-52.30769230769231,95.38461538461539,7,21,x7_y21,4,True,134
-58.46153846153846,101.53846153846155,-58.46153846153846,101.53846153846155,7,22,x7_y22,4,True,135
-58.46153846153846,107.69230769230771,-58.46153846153846,107.69230769230771,7,22,x7_y22,4,True,135
-52.30769230769231,101.53846153846155,-52.30769230769231,101.53846153846155,7,22,x7_y22,4,True,135
-52.30769230769231,107.69230769230771,-52.30769230769231,107.69230769230771,7,22,x7_y22,4,True,135
-58.46153846153846,113.84615384615387,-58.46153846153846,113.84615384615387,7,23,x7_y23,2,True,136
-52.30769230769231,113.84615384615387,-52.30769230769231,113.84615384615387,7,23,x7_y23,2,True,136
-58.46153846153846,120.0,-58.46153846153846,120.0,7,24,x7_y24,2,True,137
-52.30769230769231,120.0,-52.30769230769231,120.0,7,24,x7_y24,2,True,137
-46.153846153846146,-120.0,-46.153846153846146,-120.0,8,0,x8_y0,2,True,138
-46.153846153846146,-113.84615384615384,-46.153846153846146,-113.84615384615384,8,0,x8_y0,2,True,138
-46.153846153846146,-107.6923076923077,-46.153846153846146,-107.6923076923077,8,2,x8_y2,2,True,139
-46.153846153846146,-101.53846153846153,-46.153846153846146,-101.53846153846153,8,2,x8_y2,2,True,139
-46.153846153846146,-95.38461538461539,-46.153846153846146,-95.38461538461539,8,4,x8_y4,2,True,140
-46.153846153846146,-89.23076923076923,-46.153846153846146,-89.23076923076923,8,4,x8_y4,2,True,140
-46.153846153846146,-83.07692307692307,-46.153846153846146,-83.07692307692307,8,5,x8_y5,2,True,141
-46.153846153846146,-76.92307692307692,-46.153846153846146,-76.92307692307692,8,5,x8_y5,2,True,141
-46.153846153846146,-70.76923076923077,-46.153846153846146,-70.76923076923077,8,6,x8_y6,2,True,142
-46.153846153846146,-64.61538461538461,-46.153846153846146,-64.61538461538461,8,6,x8_y6,2,True,142
-46.153846153846146,-58.46153846153846,-46.153846153846146,-58.46153846153846,8,7,x8_y7,2,True,143
-46.153846153846146,-52.30769230769231,-46.153846153846146,-52.30769230769231,8,7,x8_y7,2,True,143
-46.153846153846146,-46.153846153846146,-46.153846153846146,-46.153846153846146,8,8,x8_y8,1,False,144
-46.153846153846146,-40.0,-46.153846153846146,-40.0,8,9,x8_y9,2,True,145
-46.153846153846146,-33.84615384615384,-46.153846153846146,-33.84615384615384,8,9,x8_y9,2,True,145
-46.153846153846146,-27.692307692307693,-46.153846153846146,-27.692307692307693,8,10,x8_y10,2,True,146
-46.153846153846146,-21.538461538461533,-46.153846153846146,-21.538461538461533,8,10,x8_y10,2,True,146
-46.153846153846146,-15.384615384615373,-46.153846153846146,-15.384615384615373,8,11,x8_y11,1,False,147
-46.153846153846146,-9.230769230769226,-46.153846153846146,-9.230769230769226,8,12,x8_y12,2,True,148
-46.153846153846146,-3.076923076923066,-46.153846153846146,-3.076923076923066,8,12,x8_y12,2,True,148
-46.153846153846146,3.07692307692308,-46.153846153846146,3.07692307692308,8,13,x8_y13,2,True,149
-46.153846153846146,9.230769230769226,-46.153846153846146,9.230769230769226,8,13,x8_y13,2,True,149
-46.153846153846146,15.384615384615387,-46.153846153846146,15.384615384615387,8,14,x8_y14,1,False,150
-46.153846153846146,21.538461538461547,-46.153846153846146,21.538461538461547,8,15,x8_y15,2,True,151
-46.153846153846146,27.692307692307708,-46.153846153846146,27.692307692307708,8,15,x8_y15,2,True,151
-46.153846153846146,33.84615384615387,-46.153846153846146,33.84615384615387,8,16,x8_y16,2,True,152
-46.153846153846146,40.0,-46.153846153846146,40.0,8,16,x8_y16,2,True,152
-46.153846153846146,46.15384615384616,-46.153846153846146,46.15384615384616,8,17,x8_y17,2,True,153
-46.153846153846146,52.30769230769232,-46.153846153846146,52.30769230769232,8,17,x8_y17,2,True,153
-46.153846153846146,58.46153846153848,-46.153846153846146,58.46153846153848,8,18,x8_y18,1,False,154
-46.153846153846146,64.61538461538461,-46.153846153846146,64.61538461538461,8,19,x8_y19,2,True,155
-46.153846153846146,70.76923076923077,-46.153846153846146,70.76923076923077,8,19,x8_y19,2,True,155
-46.153846153846146,76.92307692307693,-46.153846153846146,76.92307692307693,8,20,x8_y20,2,True,156
-46.153846153846146,83.0769230769231,-46.153846153846146,83.0769230769231,8,20,x8_y20,2,True,156
-46.153846153846146,89.23076923076925,-46.153846153846146,89.23076923076925,8,21,x8_y21,2,True,157
-46.153846153846146,95.38461538461539,-46.153846153846146,95.38461538461539,8,21,x8_y21,2,True,157
-46.153846153846146,101.53846153846155,-46.153846153846146,101.53846153846155,8,22,x8_y22,2,True,158
-46.153846153846146,107.69230769230771,-46.153846153846146,107.69230769230771,8,22,x8_y22,2,True,158
-46.153846153846146,113.84615384615387,-46.153846153846146,113.84615384615387,8,23,x8_y23,1,False,159
-46.153846153846146,120.0,-46.153846153846146,120.0,8,24,x8_y24,1,False,160
-40.0,-120.0,-40.0,-120.0,9,0,x9_y0,4,True,161
-40.0,-113.84615384615384,-40.0,-113.84615384615384,9,0,x9_y0,4,True,161
-33.84615384615384,-120.0,-33.84615384615384,-120.0,9,0,x9_y0,4,True,161
-33.84615384615384,-113.84615384615384,-33.84615384615384,-113.84615384615384,9,0,x9_y0,4,True,161
-40.0,-107.6923076923077,-40.0,-107.6923076923077,9,2,x9_y2,4,True,162
-40.0,-101.53846153846153,-40.0,-101.53846153846153,9,2,x9_y2,4,True,162
-33.84615384615384,-107.6923076923077,-33.84615384615384,-107.6923076923077,9,2,x9_y2,4,True,162
-33.84615384615384,-101.53846153846153,-33.84615384615384,-101.53846153846153,9,2,x9_y2,4,True,162
-40.0,-95.38461538461539,-40.0,-95.38461538461539,9,4,x9_y4,4,True,163
-40.0,-89.23076923076923,-40.0,-89.23076923076923,9,4,x9_y4,4,True,163
-33.84615384615384,-95.38461538461539,-33.84615384615384,-95.38461538461539,9,4,x9_y4,4,True,163
-33.84615384615384,-89.23076923076923,-33.84615384615384,-89.23076923076923,9,4,x9_y4,4,True,163
-40.0,-83.07692307692307,-40.0,-83.07692307692307,9,5,x9_y5,4,True,164
-40.0,-76.92307692307692,-40.0,-76.92307692307692,9,5,x9_y5,4,True,164
-33.84615384615384,-83.07692307692307,-33.84615384615384,-83.07692307692307,9,5,x9_y5,4,True,164
-33.84615384615384,-76.92307692307692,-33.84615384615384,-76.92307692307692,9,5,x9_y5,4,True,164
-40.0,-70.76923076923077,-40.0,-70.76923076923077,9,6,x9_y6,4,True,165
-40.0,-64.61538461538461,-40.0,-64.61538461538461,9,6,x9_y6,4,True,165
-33.84615384615384,-70.76923076923077,-33.84615384615384,-70.76923076923077,9,6,x9_y6,4,True,165
